Date,Channel,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
6/27/2024,Direct,11797,6985,0.592099686,29.40264474,7.930321268,93554,68,0.00567941,11889.53
6/21/2024,Direct,11796,6895,0.584520176,27.08418108,7.69065785,90719,63,0.005340793,9891.34
7/27/2024,Direct,11790,6901,0.585326548,24.71501272,7.481849025,88211,49,0.004156064,7859.63
6/18/2024,Direct,11775,7183,0.610021231,36.49927813,8.78955414,103497,75,0.006199575,13679.22
3/8/2023,Organic Search,11772,7352,0.62453279,63.45039076,6.07611281,71528,64,0.005436629,10408.87
3/29/2023,Organic Search,11760,7381,0.627636054,65.19030612,6.167687075,72532,83,0.007057823,12470.62
3/25/2024,Direct,11742,2540,0.216317493,34.54266735,7.257537046,85218,143,0.006131834,22743.51
7/7/2024,Direct,11742,6994,0.595639584,25.72491909,7.653381025,89866,48,0.00408789,6813.8
3/30/2023,Organic Search,11735,7445,0.634426928,66.46391138,6.361738389,74655,79,0.006731998,13796.35
6/24/2024,Direct,11702,6911,0.590582806,25.5763972,7.574602632,88638,63,0.005212784,8413.94
2/27/2023,Organic Search,11675,7458,0.638800857,68.28102784,6.471006424,75549,74,0.006252677,10928.96
11/28/2022,Organic Search,11669,7535,0.645727997,71.36481275,6.60270803,77047,131,0.011226326,22055.05
6/29/2024,Direct,11668,6729,0.576705519,24.42792252,7.520483373,87749,54,0.004628043,9915.46
8/3/2024,Direct,11656,7223,0.619680851,30.86092999,7.790322581,90804,66,0.00566232,10529.24
7/4/2024,Direct,11654,6687,0.573794405,26.23133688,7.676763343,89465,67,0.005663292,8788.35
3/28/2024,Direct,11650,2646,0.227124464,35.57982833,7.362746781,85776,198,0.00832618,43748.49
6/20/2024,Direct,11650,7076,0.607381974,30.69321888,8.096652361,94326,60,0.005150215,10412.4
8/9/2024,Direct,11633,7150,0.614630792,29.73884639,9.278432047,107936,69,0.005931402,21812.54
3/20/2023,Organic Search,11607,7171,0.617816835,62.32325321,6.147583355,71355,78,0.006633928,11163.47
5/11/2022,Direct,11600,2187,0.188534483,30.43146552,5.244310345,60834,55,0.004741379,8211
3/13/2023,Organic Search,11589,7164,0.618172405,63.59867115,6.223228924,72121,65,0.005608767,9427.79
1/30/2023,Organic Search,11585,7160,0.61804057,67.70539491,6.253603798,72448,73,0.006301252,11698.14
8/8/2024,Direct,11584,7113,0.614036602,29.63380525,9.464520028,109637,61,0.005265884,11391.75
3/31/2023,Organic Search,11573,7407,0.640024194,65.4817247,6.355568997,73553,82,0.006912641,14076.06
