Year,Month,Cost,Clicks,Impr.,CPC,CTR,Date,MoM_Cost_Change,MoM_Clicks_Change
2024,1,72640.95,161879.0,4223322.0,0.4487360930077403,3.83,2024-01-01,0.009091988839566412,0.08588236872467725
2024,2,69539.16,164170.0,3741858.0,0.423580191265152,4.39,2024-02-01,-0.0427002950814932,0.014152546037472513
2024,3,70999.64,153223.0,3211886.0,0.46337455864981103,4.77,2024-03-01,0.021002266924132984,-0.06668087957604918
2024,4,66141.17,135359.0,3584601.0,0.4886351849526075,3.78,2024-04-01,-0.068429501896066,-0.11658824066882911
2024,5,75513.99,134579.0,4317858.0,0.5611127293262693,3.12,2024-05-01,0.14170931660265462,-0.005762453918838006
2024,6,62121.33,123211.0,3969074.0,0.5041865580183588,3.1,2024-06-01,-0.1773533619399531,-0.08447083125896315
2024,7,74242.79,133124.0,4519389.0,0.5576965085183738,2.95,2024-07-01,0.19512557120074514,0.08045547881276827
2024,8,68622.71,131745.0,4644514.0,0.520875251432692,2.84,2024-08-01,-0.07569866380290913,-0.010358763258315529
2024,9,61914.52,133701.0,4078345.0,0.4630819515186872,3.28,2024-09-01,-0.09775466460010118,0.014846863258567655
2024,10,80202.93,155917.0,5168023.0,0.5143950306894052,3.02,2024-10-01,0.29538160030958815,0.16616180881220033
2024,11,74655.3,150194.0,4045549.0,0.49705913684967445,3.71,2024-11-01,-0.0691699168596458,-0.036705426605180946
2024,12,79955.4,152542.0,4681506.0,0.524153347930406,3.26,2024-12-01,0.0709942897557172,0.015633114505239964
2025,1,73595.93,154346.0,4354768.0,0.4768243427105334,3.54,2025-01-01,-0.07953771727738213,0.011826251130836019
